City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Havre-Saint-Pierre,90,CA,1547683740,92,50.23,-63.6,23.0,12.75
Mount Isa,0,AU,1547683200,25,-20.73,139.49,96.8,5.82
Port Pirie,88,AU,1547683200,36,-33.18,138.01,91.4,14.99
Pingliang,0,CN,1547684644,64,35.54,106.68,-0.03,2.62
Rawson,0,AR,1547684417,28,-43.3,-65.11,64.37,10.11
Praia da Vitoria,20,PT,1547679600,100,38.73,-27.07,50.0,6.98
Cholet,75,FR,1547681400,100,47.06,-0.88,44.6,8.05
Buchanan,20,LR,1547683200,94,5.88,-10.05,75.2,10.33
Mahon,20,IE,1547683200,86,51.89,-8.4,39.2,16.11
Yerbogachen,48,RU,1547684426,84,61.28,108.01,-6.06,5.64
Baiyin,12,CN,1547683200,77,36.55,104.13,-0.41,4.47
Coromandel,0,NZ,1547683200,69,-36.76,175.5,73.4,17.22
Laguna,90,MX,1547682240,50,27.52,-110.01,75.2,9.17
Gat,0,SN,1547683200,64,14.69,-16.54,71.6,4.7
Tautira,40,PF,1547683200,66,-17.73,-149.15,87.8,14.99
Tarakan,75,ID,1547683200,88,3.3,117.63,78.8,2.24
Tiarei,40,PF,1547683200,66,-17.53,-149.33,87.8,14.99
Provideniya,90,RU,1547683200,92,64.42,-173.23,24.8,8.95
Darovskoy,76,RU,1547684667,89,58.77,47.96,20.09,7.43
Quatre Cocos,75,MU,1547683200,88,-20.21,57.76,78.8,3.36
Batemans Bay,0,AU,1547684519,73,-35.71,150.18,81.47,4.18
East London,92,ZA,1547684439,100,-33.02,27.91,72.29,22.86
Zhuhai,0,CN,1547683200,53,40.71,112.04,-4.01,4.47
Nepa Nagar,0,IN,1547684674,78,21.47,76.4,48.48,2.95
Zaraysk,32,RU,1547684676,82,54.76,38.88,12.8,11.34
Buala,64,SB,1547684677,91,-8.15,159.59,83.58,5.19
Seaforth,76,AU,1547683200,70,-20.9,148.96,84.2,17.22
Coihaique,0,CL,1547683200,50,-45.58,-72.07,57.2,2.24
Karasjok,80,NO,1547682600,85,69.47,25.52,15.8,21.92
Krasnodar,0,RU,1547683200,86,45.04,38.98,28.4,4.47
Rize,75,TR,1547682600,86,41.02,40.52,37.4,6.93
Yamada,75,JP,1547683200,64,36.58,137.08,39.2,8.05
Port Hedland,92,AU,1547683200,43,-20.31,118.58,91.4,11.41
Kruisfontein,92,ZA,1547684410,95,-34.0,24.73,67.61,14.03
Broome,12,GB,1547682960,93,52.47,1.45,37.94,10.29
Cerchezu,0,RO,1547683200,74,43.82,28.1,35.6,9.17
Colares,75,PT,1547681400,100,38.8,-9.45,50.0,1.12
Chuy,8,UY,1547684403,96,-33.69,-53.46,70.49,7.76
Ilhabela,32,BR,1547684694,90,-23.78,-45.36,84.48,5.97
Sundsvall,90,SE,1547682600,100,62.39,17.31,23.0,5.82
Del Rio,90,US,1547683080,92,29.36,-100.9,54.68,4.41
Holme,75,GB,1547682600,93,53.7,-2.31,41.0,5.82
Aykhal,48,RU,1547684432,53,65.95,111.51,-19.61,6.42
Shugurovo,92,RU,1547684702,89,54.51,52.13,25.31,14.92
Salalah,40,OM,1547682600,64,17.01,54.1,73.4,3.36
Emba,20,CY,1547683200,57,34.81,32.42,50.0,5.82
Puerto Quijarro,0,BO,1547679600,58,-19.0,-57.72,87.8,8.05
Gualaquiza,92,EC,1547684708,98,-3.4,-78.58,62.43,2.17
Carnarvon,0,ZA,1547684384,85,-30.97,22.13,56.99,5.53
Harper,90,US,1547682900,77,30.3,-99.24,62.96,6.93
Rio Grande,36,BR,1547684382,90,-32.03,-52.1,76.92,5.3
Okha,80,RU,1547684427,89,53.59,142.95,3.62,11.79
Noyabrsk,80,RU,1547684714,86,63.2,75.45,10.46,10.45
Ust-Kulom,92,RU,1547684716,81,61.69,53.69,28.23,10.11
Alyangula,40,AU,1547683200,79,-13.85,136.42,86.0,12.75
Baculin,64,PH,1547684718,100,7.45,126.58,74.58,7.09
Latung,92,ID,1547684720,100,-8.45,120.42,69.32,3.4
Kushiro,40,JP,1547683200,58,43.11,144.15,24.8,5.82
Biak,48,ID,1547684722,94,-0.91,122.88,79.89,2.17
Darhan,48,MN,1547684723,55,49.49,105.92,-13.08,2.73
Binzhou,0,CN,1547684725,54,37.38,117.96,10.82,5.75
Saldanha,12,PT,1547684476,91,41.42,-6.55,28.91,2.73
Clyde River,75,CA,1547683200,75,70.47,-68.59,-20.21,14.99
Kamenka,56,RU,1547684481,88,53.19,44.05,16.85,8.32
Grindavik,90,IS,1547683200,79,63.84,-22.43,28.4,5.82
Mogadishu,0,SO,1547684732,100,2.04,45.34,78.18,18.84
Jamsa,0,FI,1547682600,92,61.86,25.19,14.0,4.7
Fort Payne,1,US,1547684100,73,34.44,-85.72,42.98,4.7
Fairview,75,US,1547682780,45,40.81,-74.0,39.92,9.22
Destin,1,US,1547682960,74,30.39,-86.5,52.34,0.6
Ambilobe,20,MG,1547684739,96,-13.19,49.05,70.62,4.41
Ormara,64,PK,1547684742,96,25.21,64.64,69.86,6.31
Balikpapan,76,ID,1547684407,100,-1.24,116.86,81.96,8.77
Gold Coast,0,AU,1547683200,51,-28.0,153.41,82.4,12.75
Tual,80,ID,1547684489,100,-5.67,132.75,80.34,16.15
Orocue,32,CO,1547684747,33,4.79,-71.34,91.32,8.77
Praya,75,ID,1547683200,83,-8.71,116.27,80.6,2.24
Verkh-Usugli,76,RU,1547684750,72,52.7,115.17,-8.09,2.73
Paramonga,48,PE,1547684752,98,-10.68,-77.82,71.34,15.37
Ullapool,68,GB,1547684753,100,57.9,-5.16,40.83,29.12
Santa Cruz de Tenerife,24,ES,1547683200,87,28.47,-16.25,60.8,13.87
Saint Paul,1,US,1547682960,53,44.95,-93.1,20.3,4.7
Tilichiki,0,RU,1547684757,37,60.47,166.1,-24.69,5.41
Road Town,40,VG,1547683200,69,18.42,-64.62,78.98,5.82
Harlingen,90,US,1547684100,78,26.19,-97.7,64.94,3.36
Diamantino,0,BR,1547684764,81,-14.4,-56.44,79.26,2.84
Portoferraio,40,IT,1547679300,81,42.81,10.31,50.0,8.05
Derzhavinsk,56,KZ,1547684766,81,51.1,66.31,13.29,10.45
Aloleng,48,PH,1547684768,100,16.13,119.78,76.38,6.76
Yantal,68,RU,1547684769,81,56.85,105.25,2.67,2.73
Celestun,0,MX,1547684771,96,20.87,-90.4,74.67,20.74
Inhambane,92,MZ,1547684772,100,-23.87,35.38,76.34,17.05
Aklavik,40,CA,1547683200,75,68.22,-135.01,-14.81,5.82
Sarangani,24,PH,1547684461,100,5.4,125.46,80.34,7.76
Nemuro,75,JP,1547683200,62,43.32,145.57,23.0,8.05
Hervey Bay,75,AU,1547683200,45,-25.3,152.85,86.0,10.29
Namibe,36,AO,1547684519,100,-15.19,12.15,73.68,9.55
Benton Harbor,1,US,1547682900,74,42.12,-86.45,28.4,5.41
Faya,0,SA,1547683200,30,18.39,42.45,53.6,2.73
Belaya Gora,0,RU,1547684784,0,68.54,146.19,-53.76,2.73
Puerto Escondido,75,MX,1547682300,66,15.86,-97.07,84.2,5.82
Formosa do Rio Preto,44,BR,1547684786,76,-11.04,-45.19,77.42,2.17
Valdez,90,US,1547682960,69,61.13,-146.35,33.08,1.83
Renqiu,0,CN,1547684790,52,38.71,116.1,5.28,2.28
Verkhnevilyuysk,64,RU,1547684392,49,63.45,120.31,-29.87,6.64
Troitskoye,92,RU,1547684792,87,52.98,84.68,13.52,2.62
Vanimo,12,PG,1547684794,98,-2.67,141.3,83.58,15.82
Senno,88,RU,1547683200,92,57.76,27.95,23.0,11.18
Isla Vista,90,US,1547684100,87,34.41,-119.86,60.98,17.22
Maine-Soroa,0,NE,1547684562,51,13.21,12.02,53.61,6.76
Forbes,0,AU,1547684800,57,-33.38,148.01,92.04,13.02
Venado Tuerto,8,AR,1547684802,70,-33.75,-61.97,77.82,5.3
Zalaegerszeg,8,HU,1547684803,73,46.84,16.85,42.81,18.84
Viedma,0,AR,1547684804,56,-40.81,-62.99,60.99,16.82
Red Wing,1,US,1547684160,48,44.56,-92.53,22.64,3.36
Belmonte,68,PT,1547684807,93,40.36,-7.35,35.07,2.73
Padang,20,ID,1547683200,88,-0.92,100.36,75.2,2.24
Namatanai,56,PG,1547684479,95,-3.66,152.44,85.56,8.66
Farrukhnagar,0,IN,1547683200,100,28.45,76.82,46.4,2.73
Lumajang,80,ID,1547684812,100,-8.14,113.22,76.79,2.51
Agadez,0,NE,1547684813,39,16.97,7.99,54.06,9.44
Calama,0,CL,1547683200,67,-22.46,-68.93,68.0,18.34
Greeneville,90,US,1547684100,92,36.16,-82.83,37.4,4.7
Nantucket,1,US,1547682960,66,41.28,-70.1,33.08,9.17
Tingo Maria,56,PE,1547684821,92,-9.29,-76.01,65.76,1.16
Miri,20,NG,1547684418,57,10.31,9.75,53.3,3.51
Oktyabrskoye,20,RU,1547683200,84,56.73,85.44,5.0,6.71
Vila Velha,20,BR,1547683200,83,-3.71,-38.6,80.6,3.36
Mingyue,0,CN,1547684826,27,43.11,128.91,2.31,11.45
Lata,8,IN,1547684460,91,30.78,78.62,34.04,1.95
Champerico,5,MX,1547682360,61,16.38,-93.6,77.0,13.87
Pachino,44,IT,1547684830,100,36.72,15.09,55.68,11.79
Lahaina,75,US,1547682960,47,20.87,-156.68,80.6,17.22
Greenville,1,US,1547684100,77,34.85,-82.4,50.0,5.82
Half Moon Bay,90,US,1547682960,93,37.46,-122.43,60.08,35.57
Gisborne,68,NZ,1547684835,95,-38.66,178.02,65.9,17.27
Stilfontein,20,ZA,1547684836,54,-26.84,26.78,72.92,11.56
Tucuman,68,PE,1547684837,76,-17.17,-70.89,64.1,1.61
Uvinza,92,TZ,1547684839,99,-5.1,30.39,62.34,1.95
Hobyo,44,SO,1547684467,92,5.35,48.53,73.14,10.67
Codrington,0,AU,1547683200,43,-28.95,153.24,87.8,6.93
Nome,90,US,1547682900,83,30.04,-94.42,56.48,9.17
Wilmington,90,US,1547684100,64,39.75,-75.55,39.02,8.05
Saint-Augustin,92,FR,1547681400,93,44.83,-0.61,51.8,5.82
Tuktoyaktuk,20,CA,1547679600,68,69.44,-133.03,-16.61,19.46
Ordubad,90,AZ,1547683200,65,38.91,46.02,41.0,4.7
Makakilo City,20,US,1547683020,48,21.35,-158.09,82.04,9.17
Makat,0,KZ,1547684850,89,47.65,53.35,35.21,18.5
